rule_index	rule	grounding
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	114_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 114_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	78_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 78_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	274_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 274_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	137_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 137_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	40_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 40_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	178_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 178_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	176_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 176_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	89_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 89_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	280_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 280_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	297_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 297_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	277_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 277_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	112_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 112_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	175_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 175_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	255_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 255_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	87_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 87_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	99_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 99_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	218_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 218_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	291_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 291_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	73_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 73_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	82_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 82_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	100_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 100_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	205_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 205_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	152_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 152_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	268_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 268_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	187_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 187_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	36_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 36_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	10_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 10_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	308_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 308_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	71_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 71_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	239_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 239_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	27_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 27_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	195_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 195_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	154_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 154_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	301_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 301_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	128_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 128_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	251_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 251_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	220_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 220_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	139_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 139_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	17_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 17_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	120_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 120_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	103_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 103_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	185_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 185_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	105_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 105_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	271_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 271_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	232_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 232_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	285_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 285_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	45_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 45_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	192_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 192_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	251_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 251_M005 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	96_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 96_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	138_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 138_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	294_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 294_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	277_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 277_M007_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	184_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 184_M008_01 ResponseOnPlatform 1
Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	143_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 143_M008_01 ResponseOnPlatform 1
