rule_index	rule	grounding
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100108 is_Answer_To M010_01 => 10100108 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100107 is_Answer_To M010_01 => 10100107 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100102 is_Answer_To M010_01 => 10100102 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100106 is_Answer_To M010_01 => 10100106 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100109 is_Answer_To M010_01 => 10100109 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100105 is_Answer_To M010_01 => 10100105 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100110 is_Answer_To M010_01 => 10100110 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100104 is_Answer_To M010_01 => 10100104 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100101 is_Answer_To M010_01 => 10100101 hasAnswerScale_Type Ordinal
Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100103 is_Answer_To M010_01 => 10100103 hasAnswerScale_Type Ordinal
