id	rule_index	rule	grounding
0	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30030004 type Answer => 30030004 hasAnswerScale_Type Nominal
1	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30070004 type Answer => 30070004 hasAnswerScale_Type Nominal
2	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30240001 type Answer => 30240001 hasAnswerScale_Type Nominal
3	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30160003 type Answer => 30160003 hasAnswerScale_Type Nominal
4	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30010003 type Answer => 30010003 hasAnswerScale_Type Nominal
5	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30170005 type Answer => 30170005 hasAnswerScale_Type Nominal
6	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30210004 type Answer => 30210004 hasAnswerScale_Type Nominal
7	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30190004 type Answer => 30190004 hasAnswerScale_Type Nominal
8	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30100003 type Answer => 30100003 hasAnswerScale_Type Nominal
9	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30210002 type Answer => 30210002 hasAnswerScale_Type Nominal
10	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30210003 type Answer => 30210003 hasAnswerScale_Type Nominal
11	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30150001 type Answer => 30150001 hasAnswerScale_Type Nominal
12	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30150005 type Answer => 30150005 hasAnswerScale_Type Nominal
13	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30080004 type Answer => 30080004 hasAnswerScale_Type Nominal
14	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30220003 type Answer => 30220003 hasAnswerScale_Type Nominal
15	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30060001 type Answer => 30060001 hasAnswerScale_Type Nominal
16	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30130002 type Answer => 30130002 hasAnswerScale_Type Nominal
17	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30010004 type Answer => 30010004 hasAnswerScale_Type Nominal
18	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30220004 type Answer => 30220004 hasAnswerScale_Type Nominal
