semantic_unit_uri,review_reason,ontology_class_uri,entity_count,example_entity_uris,example_labels,note
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0001,unclassified_entity,,185,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0001_24_34|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0001_122_138|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0001_142_152|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0001_157_201|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0001_203_211,"Components|aerobic training|times/week|resistance/strength training 
 
 • Intensity|moderate",No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0003,unclassified_entity,,107,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0003_138_148|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0003_151_176|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0003_179_184|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0003_186_191|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0003_195_201,Components|Established/agreed issues|Class|level|Issues,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0005,unclassified_entity,,109,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0005_13_23|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0005_78_93|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0005_124_131|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0005_147_153|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0005_155_168,Components|coronary artery|Patient|Assess|wound healing,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0006,unclassified_entity,,425,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0006_8_23|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0006_82_92|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0006_95_120|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0006_123_128|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0006_130_135,Core components|Components|Established/agreed issues|Class|level,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0007,unclassified_entity,,241,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0007_8_23|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0007_84_94|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0007_97_122|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0007_125_131|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0007_150_158,Core components|Components|Established/agreed issues|Issues|evidence,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0008,unclassified_entity,,130,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0008_8_27|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0008_75_83|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0008_123_134|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0008_138_144|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0008_149_153,Operational aspects|patients|Instruction|reduce|risk,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0010,unclassified_entity,,276,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0010_8_23|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0010_86_96|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0010_99_124|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0010_127_132|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0010_134_139,Core components|Components|Established/agreed issues|Class|level,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0011,unclassified_entity,,167,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0011_8_23|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0011_53_69|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0011_77_87|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0011_90_115|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0011_118_123,Core components|elderly patients|Components|Established/agreed issues|Class,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0012,unclassified_entity,,157,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0012_54_59|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0012_60_68|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0012_76_86|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0012_89_114|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0012_117_123,frail|patients|Components|Established/agreed issues|Issues,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
http://digistrucmed.org/semantic-unit/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0013,unclassified_entity,,271,http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0013_9_24|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0013_79_89|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0013_126_131|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0013_135_141|http://digistrucmed.org/entity/lu_0074e29f31a1f0feb082e0064bee46f60bf6b5ae3f8703d1231341374ed97e52_n0013_160_168,Core components|Components|level|Issues|evidence,No lexical or UMLS-semantic-type rule matched; needs manual class assignment or a new rule in relation_rules.yaml.
