id	rule_index	question	q_entity	answer	a_entity	rule	grounding
0	Rule_0	What is the answer scale type of 30030004?	['30030004']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30030004 type Answer => 30030004 hasAnswerScale_Type Nominal']
1	Rule_0	What is the hasAnswerScale type of 30070004?	['30070004']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30070004 type Answer => 30070004 hasAnswerScale_Type Nominal']
2	Rule_0	What is the hasAnswerScale type of 30240001?	['30240001']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30240001 type Answer => 30240001 hasAnswerScale_Type Nominal']
3	Rule_0	What is the answer scale type of 30160003?	['30160003']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30160003 type Answer => 30160003 hasAnswerScale_Type Nominal']
4	Rule_0	What is the answer scale type of 30010003?	['30010003']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30010003 type Answer => 30010003 hasAnswerScale_Type Nominal']
5	Rule_0	What is the hasAnswerScale type of 30170005?	['30170005']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30170005 type Answer => 30170005 hasAnswerScale_Type Nominal']
7	Rule_0	What is the answer scale type of 30190004?	['30190004']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30190004 type Answer => 30190004 hasAnswerScale_Type Nominal']
8	Rule_0	What answer scale type does 30100003 have?	['30100003']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30100003 type Answer => 30100003 hasAnswerScale_Type Nominal']
9	Rule_0	What is the answer scale type of 30210002?	['30210002']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30210002 type Answer => 30210002 hasAnswerScale_Type Nominal']
10	Rule_0	What is the hasAnswerScale type of 30210003?	['30210003']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30210003 type Answer => 30210003 hasAnswerScale_Type Nominal']
11	Rule_0	What is the answer scale type of 30150001?	['30150001']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30150001 type Answer => 30150001 hasAnswerScale_Type Nominal']
12	Rule_0	What is the hasAnswerScale type of 30150005?	['30150005']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30150005 type Answer => 30150005 hasAnswerScale_Type Nominal']
13	Rule_0	What is the answer scale type of 30080004?	['30080004']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30080004 type Answer => 30080004 hasAnswerScale_Type Nominal']
14	Rule_0	What is the hasAnswerScale type of 30220003?	['30220003']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30220003 type Answer => 30220003 hasAnswerScale_Type Nominal']
15	Rule_0	What is the answer scale type of 30060001?	['30060001']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30060001 type Answer => 30060001 hasAnswerScale_Type Nominal']
16	Rule_0	What is the hasAnswerScale type of 30130002?	['30130002']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30130002 type Answer => 30130002 hasAnswerScale_Type Nominal']
17	Rule_0	What is the answer scale type of 30010004?	['30010004']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30010004 type Answer => 30010004 hasAnswerScale_Type Nominal']
18	Rule_0	What is the hasAnswerScale type of 30220004?	['30220004']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30220004 type Answer => 30220004 hasAnswerScale_Type Nominal']
19	Rule_0	What is the answer scale type of 30030002?	['30030002']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30030002 type Answer => 30030002 hasAnswerScale_Type Nominal']
20	Rule_0	What is the hasAnswerScale type of 30140002?	['30140002']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30140002 type Answer => 30140002 hasAnswerScale_Type Nominal']
22	Rule_0	What is the hasAnswerScale type of 30170002?	['30170002']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30170002 type Answer => 30170002 hasAnswerScale_Type Nominal']
23	Rule_0	What is the answer scale type of 30090004?	['30090004']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30090004 type Answer => 30090004 hasAnswerScale_Type Nominal']
24	Rule_0	What answer scale type does 30220002 have?	['30220002']	['Nominal']	['Nominal']	['?a type Answer => ?a hasAnswerScale_Type Nominal']	['30220002 type Answer => 30220002 hasAnswerScale_Type Nominal']
