"AnswerId","QuestionId","ResponseCode","ResponseLabel","ResponseLabelEnglish","Scale_Type","RawNumber","Answer_Category"
"10020101","M002_01","1","überhaupt nicht [1]","not at all [1]","Ordinal","1","very_negative"
"10020102","M002_01","2","[2]","Scale value 2","Ordinal","2","very_negative"
"10020103","M002_01","3","[3]","Scale value 3","Ordinal","3","negative"
"10020104","M002_01","4","[4]","Scale value 4","Ordinal","4","negative"
"10020105","M002_01","5","[5]","Scale value 5","Ordinal","5","neutral"
"10020106","M002_01","6","[6]","Scale value 6","Ordinal","6","neutral"
"10020107","M002_01","7","[7]","Scale value 7","Ordinal","7","positive"
"10020108","M002_01","8","[8]","Scale value 8","Ordinal","8","positive"
"10020109","M002_01","9","[9]","Scale value 9","Ordinal","9","very_positive"
"10020110","M002_01","10","sehr [10]","very much [10]","Ordinal","10","very_positive"
"10020111","M002_01","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"10030101","M003_01","1","überhaupt keine [1]","none at all [1]","Ordinal","1","very_negative"
"10030102","M003_01","2","[2]","Scale value 2","Ordinal","2","very_negative"
"10030103","M003_01","3","[3]","Scale value 3","Ordinal","3","negative"
"10030104","M003_01","4","[4]","Scale value 4","Ordinal","4","negative"
"10030105","M003_01","5","[5]","Scale value 5","Ordinal","5","neutral"
"10030106","M003_01","6","[6]","Scale value 6","Ordinal","6","neutral"
"10030107","M003_01","7","[7]","Scale value 7","Ordinal","7","positive"
"10030108","M003_01","8","[8]","Scale value 8","Ordinal","8","positive"
"10030109","M003_01","9","[9]","Scale value 9","Ordinal","9","very_positive"
"10030110","M003_01","10","alle [10]","all [10]","Ordinal","10","very_positive"
"10030111","M003_01","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"10040101","M004_01","1","überhaupt nicht [1]","not at all [1]","Ordinal","1","very_negative"
"10040102","M004_01","2","[2]","Scale value 2","Ordinal","2","very_negative"
"10040103","M004_01","3","[3]","Scale value 3","Ordinal","3","negative"
"10040104","M004_01","4","[4]","Scale value 4","Ordinal","4","negative"
"10040105","M004_01","5","[5]","Scale value 5","Ordinal","5","neutral"
"10040106","M004_01","6","[6]","Scale value 6","Ordinal","6","neutral"
"10040107","M004_01","7","[7]","Scale value 7","Ordinal","7","positive"
"10040108","M004_01","8","[8]","Scale value 8","Ordinal","8","positive"
"10040109","M004_01","9","[9]","Scale value 9","Ordinal","9","very_positive"
"10040110","M004_01","10","sehr gut [10]","very good [10]","Ordinal","10","very_positive"
"10040111","M004_01","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"10050001","M005","1","Text","Text","Nominal","1","Format"
"10050002","M005","2","Video","Video","Nominal","2","Format"
"10050003","M005","3","Quiz","Quiz","Nominal","3","Format"
"10050004","M005","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"10060101","M006_01","1","sehr schlecht [1]","very poor [1]","Ordinal","1","very_negative"
"10060102","M006_01","2","[2]","Scale value 2","Ordinal","2","very_negative"
"10060103","M006_01","3","[3]","Scale value 3","Ordinal","3","negative"
"10060104","M006_01","4","[4]","Scale value 4","Ordinal","4","negative"
"10060105","M006_01","5","[5]","Scale value 5","Ordinal","5","neutral"
"10060106","M006_01","6","[6]","Scale value 6","Ordinal","6","neutral"
"10060107","M006_01","7","[7]","Scale value 7","Ordinal","7","positive"
"10060108","M006_01","8","[8]","Scale value 8","Ordinal","8","positive"
"10060109","M006_01","9","[9]","Scale value 9","Ordinal","9","very_positive"
"10060110","M006_01","10","sehr gut [10]","very good [10]","Ordinal","10","very_positive"
"10060111","M006_01","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"10100101","M010_01","1","überhaupt nicht [1]","not at all [1]","Ordinal","1","very_negative"
"10100102","M010_01","2","[2]","Scale value 2","Ordinal","2","very_negative"
"10100103","M010_01","3","[3]","Scale value 3","Ordinal","3","negative"
"10100104","M010_01","4","[4]","Scale value 4","Ordinal","4","negative"
"10100105","M010_01","5","[5]","Scale value 5","Ordinal","5","neutral"
"10100106","M010_01","6","[6]","Scale value 6","Ordinal","6","neutral"
"10100107","M010_01","7","[7]","Scale value 7","Ordinal","7","positive"
"10100108","M010_01","8","[8]","Scale value 8","Ordinal","8","positive"
"10100109","M010_01","9","[9]","Scale value 9","Ordinal","9","very_positive"
"10100110","M010_01","10","sehr [10]","very much [10]","Ordinal","10","very_positive"
"10100111","M010_01","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010101","SU01_01","1","trifft gar nicht zu","does not apply at all","Ordinal","1","very_negative"
"20010102","SU01_01","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010103","SU01_01","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010104","SU01_01","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010105","SU01_01","5","trifft voll zu","fully applies","Ordinal","5","very_positive"
"20010106","SU01_01","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010201","SU01_02","1","trifft voll zu","fully applies","Ordinal","1","very_negative"
"20010202","SU01_02","2","Likert response 2","Likert response 2","Ordinal","2","negative"
"20010203","SU01_02","3","Likert response 3","Likert response 3","Ordinal","3","neutral"
"20010204","SU01_02","4","Likert response 4","Likert response 4","Ordinal","4","positive"
"20010205","SU01_02","5","trifft gar nicht zu","does not apply at all","Ordinal","5","very_positive"
"20010206","SU01_02","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"20010301","SU01_03","1","trifft gar nicht zu","does not apply at all","Ordinal","1","very_negative"
"20010302","SU01_03","2","Likert response 2","Likert response 2","Ordinal","2","negative"
