"VisitId","UserId","PlatformId","QuestionnarieId","QuestionId","AnswerId","chosen_Answer_Code"
"1","1","1","ME1","M002_01","10020109","9"
"1","1","1","ME1","M003_01","10030105","5"
"1","1","1","ME1","M004_01","10040105","5"
"1","1","1","ME1","M005","10050002","2"
"1","1","1","ME1","M006_01","10060105","5"
"1","1","1","ME1","M007_01","10070101","video"
"1","1","1","ME1","M008_01","10080101","herzschwäche durch herzmuskelentzündung"
"1","1","1","ME1","M010_01","10100108","8"
"2","2","1","ME1","M002_01","10020108","8"
"2","2","1","ME1","M003_01","10030109","9"
"2","2","1","ME1","M004_01","10040108","8"
"2","2","1","ME1","M005","10050001","1"
"2","2","1","ME1","M006_01","10060108","8"
"2","2","1","ME1","M007_01","10070101","Grundsätzliches zu erfahren"
"2","2","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"2","2","1","ME1","M010_01","10100107","7"
"3","3","1","ME1","M002_01","10020102","2"
"3","3","1","ME1","M003_01","10030102","2"
"3","3","1","ME1","M004_01","10040102","2"
"3","3","1","ME1","M005","10050002","2"
"3","3","1","ME1","M006_01","10060105","5"
"3","3","1","ME1","M007_01","10070101","Keine meiner Probleme hat gepasst !Eine automatische Berichtigung wäre hilfreich"
"3","3","1","ME1","M008_01","10080101","Ich muss es erstmal verstehen lernen !"
"3","3","1","ME1","M010_01","10100102","2"
"4","4","1","ME1","M002_01","10020109","9"
"4","4","1","ME1","M003_01","10030109","9"
"4","4","1","ME1","M004_01","10040109","9"
"4","4","1","ME1","M005","10050002","2"
"4","4","1","ME1","M006_01","10060109","9"
"4","4","1","ME1","M007_01","10070101","Das Video hat verständlich aufgzeigt woher die Krankheitsymptome kommen."
"4","4","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"4","4","1","ME1","M010_01","10100109","9"
"5","5","1","ME1","M002_01","10020110","10"
"5","5","1","ME1","M003_01","10030110","10"
"5","5","1","ME1","M004_01","10040109","9"
"5","5","1","ME1","M005","10050001","1"
"5","5","1","ME1","M006_01","10060106","6"
"5","5","1","ME1","M007_01","10070101","Ich arbeite gern mit/an Texten und bevorzuge deshallb die die Wissensvermittlung mit Texten. Auch das Video gefiel mir gut. Mit dem Quiz bin ich nicht klargekommen und weiß nicht, was ich falsch beantwortet habe - das sollte aber stets in einem Modul richtig gestellt werden."
"5","5","1","ME1","M008_01","10080101","Richtige Antworten im Quiz für den Bearbeiter angeben, sonst fehlt der Lernerfolg!"
"5","5","1","ME1","M010_01","10100108","8"
"6","6","1","ME1","M002_01","10020110","10"
"6","6","1","ME1","M003_01","10030110","10"
"6","6","1","ME1","M004_01","10040110","10"
"6","6","1","ME1","M005","10050001","1"
"6","6","1","ME1","M006_01","10060110","10"
"6","6","1","ME1","M007_01","10070101","Die einfache Erklärung und die abschließenden Video."
"6","6","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"6","6","1","ME1","M010_01","10100108","8"
"7","7","1","ME1","M002_01","10020110","10"
"7","7","1","ME1","M003_01","10030110","10"
"7","7","1","ME1","M004_01","10040110","10"
"7","7","1","ME1","M005","10050001","1"
"7","7","1","ME1","M006_01","10060110","10"
"7","7","1","ME1","M007_01","10070101","Gut fand ich die verständliche und trotzdem kurz gefasste Darstellung."
"7","7","1","ME1","M008_01","10080101","Ist für mich so völlig in Ordnung, danke."
"7","7","1","ME1","M010_01","10100109","9"
"8","8","1","ME1","M002_01","10020102","2"
"8","8","1","ME1","M003_01","10030102","2"
"8","8","1","ME1","M004_01","10040102","2"
"8","8","1","ME1","M005","10050002","2"
"8","8","1","ME1","M006_01","10060107","7"
"8","8","1","ME1","M007_01","10070101","entspricht nicht meinen Erfahrungen"
"8","8","1","ME1","M008_01","10080101","bei falscher Antwort, eine Richtigstellung"
"8","8","1","ME1","M010_01","10100107","7"
"9","9","1","ME1","M002_01","10020110","10"
"9","9","1","ME1","M003_01","10030110","10"
"9","9","1","ME1","M004_01","10040110","10"
"9","9","1","ME1","M005","10050001","1"
"9","9","1","ME1","M006_01","10060110","10"
"9","9","1","ME1","M007_01","10070102","NO_RECORDED_RESPONSE"
"9","9","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"9","9","1","ME1","M010_01","10100110","10"
"10","10","1","ME1","M002_01","10020110","10"
"10","10","1","ME1","M003_01","10030110","10"
"10","10","1","ME1","M004_01","10040110","10"
"10","10","1","ME1","M005","10050001","1"
"10","10","1","ME1","M006_01","10060110","10"
"10","10","1","ME1","M007_01","10070101","Gut Verständlich"
"10","10","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"10","10","1","ME1","M010_01","10100110","10"
"11","11","1","ME1","M002_01","10020105","5"
"11","11","1","ME1","M003_01","10030105","5"
"11","11","1","ME1","M004_01","10040106","6"
"11","11","1","ME1","M005","10050003","3"
"11","11","1","ME1","M006_01","10060105","5"
"11","11","1","ME1","M007_01","10070102","NO_RECORDED_RESPONSE"
"11","11","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"11","11","1","ME1","M010_01","10100105","5"
"12","12","1","ME1","M002_01","10020106","6"
"12","12","1","ME1","M003_01","10030106","6"
"12","12","1","ME1","M004_01","10040104","4"
"12","12","1","ME1","M005","10050003","3"
"12","12","1","ME1","M006_01","10060106","6"
"12","12","1","ME1","M007_01","10070102","NO_RECORDED_RESPONSE"
"12","12","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"12","12","1","ME1","M010_01","10100106","6"
"13","13","1","ME1","M002_01","10020101","1"
"13","13","1","ME1","M003_01","10030101","1"
"13","13","1","ME1","M004_01","10040101","1"
"13","13","1","ME1","M005","10050002","2"
"13","13","1","ME1","M006_01","10060101","1"
"13","13","1","ME1","M007_01","10070102","NO_RECORDED_RESPONSE"
"13","13","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"13","13","1","ME1","M010_01","10100101","1"
"14","14","1","ME1","M002_01","10020108","8"
"14","14","1","ME1","M003_01","10030108","8"
"14","14","1","ME1","M004_01","10040108","8"
"14","14","1","ME1","M005","10050002","2"
"14","14","1","ME1","M006_01","10060108","8"
"14","14","1","ME1","M007_01","10070102","NO_RECORDED_RESPONSE"
"14","14","1","ME1","M008_01","10080101","Nichts"
"14","14","1","ME1","M010_01","10100109","9"
"15","15","1","ME1","M002_01","10020110","10"
"15","15","1","ME1","M003_01","10030110","10"
"15","15","1","ME1","M004_01","10040110","10"
"15","15","1","ME1","M005","10050001","1"
"15","15","1","ME1","M006_01","10060110","10"
"15","15","1","ME1","M007_01","10070101","Alles sehr gut erklärt. Verwendung von Bidern und Video sehr gut."
"15","15","1","ME1","M008_01","10080101","Nichts"
"15","15","1","ME1","M010_01","10100109","9"
"16","16","1","ME1","M002_01","10020107","7"
"16","16","1","ME1","M003_01","10030105","5"
"16","16","1","ME1","M004_01","10040107","7"
"16","16","1","ME1","M005","10050001","1"
"16","16","1","ME1","M006_01","10060107","7"
"16","16","1","ME1","M007_01","10070101","Quiz ist nicht meins"
"16","16","1","ME1","M008_01","10080101","Leichtere Bearbeitung"
"16","16","1","ME1","M010_01","10100107","7"
"17","17","1","ME1","M002_01","10020105","5"
"17","17","1","ME1","M003_01","10030105","5"
"17","17","1","ME1","M004_01","10040109","9"
"17","17","1","ME1","M005","10050002","2"
"17","17","1","ME1","M006_01","10060108","8"
"17","17","1","ME1","M007_01","10070102","NO_RECORDED_RESPONSE"
"17","17","1","ME1","M008_01","10080102","NO_RECORDED_RESPONSE"
"17","17","1","ME1","M010_01","10100104","4"
"18","18","1","ME1","M002_01","10020107","7"
"18","18","1","ME1","M003_01","10030106","6"
